,Label,Type,00- Reference model,01- Est M,02- Lorenzen M,03- OR M,"04- Sex = 3, Est M",05- fix growth Est M,06- fix growth,07- Est Lmin,08- fix t0=0,09- Est CVlts,10- bio mat ogive,11- Fxnal mat ogive,12- Fec = ltwt,13- No rec devs,14- Full rec devs,15- Domed sel est
1,AIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,AIC,7686.3,7676.5,7854.66,7708.74,6878.1,10436.3,10557.56,7717.48,7233.6,7287.96,7684.28,7685.56,7684.02,7822.22,7712.6,7695.04
3,NA,deltaAIC,0,-9.8,168.36,22.44,-808.2,2750,2871.26,31.18,-452.7,-398.34,-2.02,-0.74,-2.28,135.92,26.3,8.74
4,Survey_likelihood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,Tagging,2.64678,4.74755,4.40143,0.210001,0.573488,8.10884,2.96093,0.251604,-0.836774,2.10687,1.01259,2.26833,1.84532,6.69651,1.5565,1.83507
10,NA,Nearshore_survey,-1.66355,-1.69126,-1.77238,-1.73684,-1.65105,-1.8171,-1.89394,-1.72058,-1.66348,-1.73062,-1.6935,-1.69914,-1.69302,-1.48944,-1.6925,-1.74659
11,NA,OCNMS,-0.346485,-0.112817,0.413604,-0.253657,-0.585321,0.815548,0.910377,-0.358752,-1.35706,-0.265114,-0.434737,-0.343088,-0.399982,-0.94601,-0.420572,-0.363133
12,NA,OCNMS_YOY,8.47686,8.54627,8.66665,8.45698,8.41031,9.10148,8.96198,8.57316,7.89593,8.4953,8.4895,8.49353,8.47616,8.21462,8.4304,8.51755
13,NA,Private_Boat,-12.2921,-8.08643,-11.0558,-18.3937,-14.2811,-12.9008,-38.9067,-15.6059,-20.7053,-14.9617,-14.2833,-12.6553,-13.1604,-9.23617,-13.709,-14.4539
14,NA,Charter,-10.3588,-9.95622,-10.8612,-10.9674,-9.9873,-14.1344,-14.467,-10.5576,-10.9145,-10.9957,-10.4377,-10.3589,-10.3753,-9.66462,-10.488,-10.6834
26,Lt_likelihood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,ALL,651.478,636.135,709.533,668.501,463.612,628.767,633.295,664.058,651.25,633.305,650.863,648.387,649.221,669.28,649.456,641.363
28,NA,Trawl,134.653,134.168,143.179,137.682,77.7109,94.5352,95.5813,134.274,109.701,133.889,134.795,134.649,134.771,141.493,134.672,133.494
29,NA,NonTRWL,56.1635,54.7624,61.3625,58.2083,32.0952,49.9146,49.7931,56.1591,51.2701,56.633,56.2591,56.1587,56.2091,57.835,56.3041,56.0184
30,NA,Recreational,329.717,321.125,373.068,343.189,225.141,337.42,341.182,331.381,353.875,320.294,331.396,329.997,330.578,338.021,330.702,328.67
31,NA,Tagging,19.3462,17.0403,21.9602,20.4125,19.6367,28.4269,27.9862,19.386,27.1401,15.7651,19.1846,18.9178,19.0037,17.5225,19.0699,14.6481
32,NA,Nearshore_survey,5.47608,2.49887,2.98933,2.72994,2.71386,6.44901,6.36754,16.9058,4.66185,2.0583,2.65133,2.65423,2.65596,3.30762,2.65381,1.96117
33,NA,OCNMS,106.122,106.541,106.975,106.279,106.314,112.02,112.385,105.952,104.602,104.665,106.576,106.01,106.003,111.101,106.055,106.572
48,Age_likelihood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,ALL,3093,3090.13,3110.6,3091.83,2877.78,4506.39,4608.69,3095.66,2888.83,2913.85,3092.94,3093.19,3092.75,3179.61,3090.95,3095.29
50,NA,Trawl,263.936,267.585,265.822,261.455,273.595,264.916,257.191,263.883,249.033,266.591,263.428,263.942,263.656,273.254,261.823,263.737
51,NA,NonTRWL,957.605,954.38,965.332,960.223,924.034,1306,1335.74,959.245,905.118,941.761,958.144,957.724,957.646,964.941,957.874,959.319
52,NA,Recreational,1871.46,1868.17,1879.45,1870.16,1680.15,2935.48,3015.76,1872.53,1734.68,1705.5,1871.37,1871.53,1871.45,1941.42,1871.25,1872.23
70,Parameters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NatM_uniform_Fem_GP_1,0.17,0.156637,NA,0.19,0.15027,0.103906,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
72,NA,L_at_Amin_Fem_GP_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,NA,L_at_Amax_Fem_GP_1,52.7284,52.6767,52.7318,52.7613,52.6527,51.19,51.19,52.7396,51.991,52.5054,52.7312,52.7275,52.7303,52.7528,52.7327,52.7744
74,NA,VonBert_K_Fem_GP_1,0.117739,0.117781,0.117534,0.117526,0.118121,0.1513,0.1513,0.117826,0.164159,0.12213,0.11776,0.117756,0.117742,0.117222,0.117743,0.117713
75,NA,CV_young_Fem_GP_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.013652,0.1,0.1,0.1,0.1,0.1,0.1
76,NA,CV_old_Fem_GP_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.114407,0.1,0.1,0.1,0.1,0.1,0.1
77,NA,Wtlen_1_Fem_GP_1,5.25E-05,5.25E-05,5.25E-05,5.25E-05,5.25E-05,5.25E-05,5.25E-05,5.25E-05,5.25E-05,5.25E-05,5.25E-05,5.25E-05,5.25E-05,5.25E-05,5.25E-05,5.25E-05
78,NA,Wtlen_2_Fem_GP_1,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122
79,NA,Mat50%_Fem_GP_1,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,34.38,40.36,40.36,40.36,40.36,40.36
80,NA,Mat_slope_Fem_GP_1,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.31217,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418
81,NA,Eggs_scalar_Fem_GP_1,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08,5.25E-05,1.41E-08,1.41E-08,1.41E-08
82,NA,Eggs_exp_len_Fem_GP_1,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,2.72122,4.685,4.685,4.685
83,NA,NatM_uniform_Mal_GP_1,0.152,0.124865,NA,0.17,0.163502,0.107699,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152
84,NA,L_at_Amin_Mal_GP_1,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,0,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175
85,NA,L_at_Amax_Mal_GP_1,47.6527,47.6555,47.7276,47.6948,47.3236,47.26,47.26,47.6627,46.7863,47.9886,47.6449,47.6525,47.6527,47.6625,47.652,47.7021
86,NA,VonBert_K_Mal_GP_1,0.140352,0.141224,0.139574,0.139846,0.140473,0.1656,0.1656,0.140474,0.220684,0.146654,0.140453,0.140369,0.140352,0.139982,0.140354,0.140247
87,NA,CV_young_Mal_GP_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.102432,0.1,0.1,0.1,0.1,0.1,0.1
88,NA,CV_old_Mal_GP_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0693183,0.1,0.1,0.1,0.1,0.1,0.1
89,NA,Wtlen_1_Mal_GP_1,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05
90,NA,Wtlen_2_Mal_GP_1,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062
91,NA,CohortGrowDev,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,NA,FracFemale_GP_1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
93,NA,SR_LN(R0),7.58041,7.25271,8.23364,7.89606,7.56008,6.68287,8.06525,7.62317,7.70395,7.58301,7.56353,7.58542,7.56735,7.42562,7.5557,7.60295
94,NA,SR_BH_steep,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
169,NA,LnQ_base_Tagging(4),-5.59542,-5.39614,-5.58872,-5.8153,-5.49907,-6.10384,-7.37823,-5.65648,-6.03556,-5.7073,-5.61705,-5.58413,-5.59286,-5.53073,-5.60421,-5.50484
170,NA,LnQ_base_Nearshore_survey(5),-6.66945,-6.42167,-6.56162,-7.13121,-6.80234,-6.7417,-8.23208,-7.35785,-7.45719,-6.96478,-6.94159,-6.80021,-6.84399,-6.14859,-6.87936,-6.80264
171,NA,Q_extraSD_Nearshore_survey(5),0.119925,0.117547,0.109751,0.113193,0.121384,0.106285,0.0987571,0.115825,0.120459,0.113728,0.117328,0.116797,0.117346,0.13839,0.117371,0.111989
172,NA,LnQ_base_OCNMS(6),-7.38641,-7.03142,-7.26429,-7.7623,-7.41404,-7.11593,-8.62673,-7.63832,-7.78304,-7.53071,-7.5622,-7.41757,-7.45443,-6.94318,-7.48364,-7.53371
173,NA,LnQ_base_OCNMS_YOY(7),-6.5593,-6.1122,-7.08316,-6.96729,-6.5482,-5.36726,-7.00795,-6.63304,-6.95649,-6.58436,-6.62532,-6.56618,-6.5935,-6.51137,-6.59505,-6.60472
174,NA,Q_extraSD_OCNMS_YOY(7),1.80083,1.82145,1.85777,1.79445,1.78107,1.99304,1.9484,1.82875,1.63696,1.80633,1.80436,1.805,1.80059,1.72398,1.78693,1.81256
175,NA,LnQ_base_Private_Boat(8),-6.24349,-6.09304,-6.25794,-6.44239,-6.13016,-6.76409,-7.91661,-6.3103,-6.70462,-6.34551,-6.27702,-6.2506,-6.2574,-6.16836,-6.26585,-6.28489
176,NA,Q_extraSD_Private_Boat(8),0.376871,0.430879,0.392626,0.309015,0.353122,0.372144,0.155084,0.338342,0.286145,0.345989,0.353236,0.372412,0.366378,0.416073,0.359969,0.351489
177,NA,LnQ_base_Charter(9),-5.73231,-5.64806,-5.76721,-5.84265,-5.58529,-6.25528,-7.15381,-5.74837,-6.0667,-5.79729,-5.73534,-5.73395,-5.73302,-5.6883,-5.73367,-5.74248
178,NA,Q_extraSD_Charter(9),0.138742,0.147158,0.129323,0.12674,0.144913,0.0765816,0.080938,0.13473,0.128387,0.12625,0.137152,0.138716,0.138405,0.150636,0.136294,0.132407
179,NA,Size_DblN_peak_Trawl(1),50.0229,50.1034,49.6743,49.8984,50.1857,50.0657,49.7819,50.0083,49.5504,50.8984,50.0232,50.0221,50.0229,49.9455,50.0495,50.0026
180,NA,Size_DblN_top_logit_Trawl(1),0.809232,0.65177,0.922797,0.866285,2.01369,-0.58173,-0.521305,0.78947,-0.411784,-0.170121,0.818662,0.808286,0.815329,0.818781,0.860738,0.788789
181,NA,Size_DblN_ascend_se_Trawl(1),3.4629,3.48592,3.40622,3.43867,3.45844,3.67868,3.62831,3.46276,3.58842,3.54964,3.46241,3.46295,3.46256,3.44565,3.46523,3.46361
185,NA,Size_DblN_peak_NonTRWL(2),48.8261,49.0319,48.1066,48.5338,49.2714,49.3137,47.2101,48.8124,46.7707,50.0845,48.8172,48.8201,48.82,48.9601,48.8,48.8188
186,NA,Size_DblN_top_logit_NonTRWL(2),1.95482,-0.869773,2.09372,-0.543346,2.04107,2.05484,-1.44031,1.96745,-1.0281,1.95986,-0.688,-0.699751,-0.800634,2.04318,-0.817994,0.116222
187,NA,Size_DblN_ascend_se_NonTRWL(2),4.30249,4.34255,4.19891,4.25692,4.30114,4.69227,4.44732,4.30246,4.38346,4.4121,4.30097,4.3018,4.30153,4.3028,4.29989,4.3055
188,NA,Size_DblN_descend_se_NonTRWL(2),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-4.5
189,NA,Size_DblN_start_logit_NonTRWL(2),-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
190,NA,Size_DblN_end_logit_NonTRWL(2),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2.13582
191,NA,Size_DblN_peak_Recreational(3),43.512,43.5666,43.3207,43.4196,43.9472,41.8658,41.2755,43.4598,41.5977,43.8476,43.487,43.5032,43.4977,43.6043,43.4905,43.4899
192,NA,Size_DblN_top_logit_Recreational(3),-2.57276,2.48647,2.52811,-2.44754,2.48553,2.63541,-8.87761,2.50272,2.62226,2.50171,2.517,2.501,2.49888,2.50878,2.4958,-1.47548
193,NA,Size_DblN_ascend_se_Recreational(3),3.65524,3.68292,3.5918,3.62887,3.75638,3.72508,3.59766,3.65214,3.59622,3.74009,3.65191,3.65458,3.6532,3.65001,3.65272,3.65758
194,NA,Size_DblN_descend_se_Recreational(3),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-4.5
195,NA,Size_DblN_start_logit_Recreational(3),-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
196,NA,Size_DblN_end_logit_Recreational(3),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2.25162
197,NA,Size_DblN_peak_Tagging(4),41.904,41.8165,41.5768,41.6087,41.7349,40.0046,40.0334,41.649,40.2998,41.8796,41.684,41.7064,41.6995,41.8462,41.6904,42.1469
198,NA,Size_DblN_top_logit_Tagging(4),-5.33963,-4.23623,-3.21849,-3.27232,-3.555,-3.38165,-3.39516,-3.6255,-3.55024,-4.0746,-3.64872,-3.70655,-3.68659,-4.18599,-3.67418,-3.40016
199,NA,Size_DblN_ascend_se_Tagging(4),3.50492,3.39559,3.3039,3.32177,3.34102,3.38458,3.34125,3.34248,3.35328,3.41558,3.34698,3.3534,3.35103,3.41918,3.34955,3.4156
200,NA,Size_DblN_descend_se_Tagging(4),2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.94591
201,NA,Size_DblN_start_logit_Tagging(4),-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
202,NA,Size_DblN_end_logit_Tagging(4),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1.70231
205,NA,Size_DblN_peak_OCNMS(6),26.6504,26.307,28.3882,26.7048,26.6115,14.6966,15.004,10.7422,24.8244,26.0974,13.0434,26.5727,26.5459,28.884,26.446,10.7407
206,NA,Size_DblN_top_logit_OCNMS(6),1.03612,0.752575,3.18402,3.23559,3.52173,1.66826,1.66174,3.88766,1.75854,3.56158,2.78443,3.5183,3.51561,3.12764,3.24189,1.70661
207,NA,Size_DblN_ascend_se_OCNMS(6),3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539
208,NA,Size_DblN_descend_se_OCNMS(6),1.32143,-4.5684,-4.48939,-4.49638,-4.49983,-4.50804,-4.50864,-4.49976,-4.48637,-4.50081,-4.49829,-4.49988,-4.50082,-4.32132,-4.50882,-4.49992
210,NA,Size_DblN_end_logit_OCNMS(6),-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-0.149633
215,NA,Size_DblN_peak_Nearshore_survey(5),NA,42.4607,42.0154,42.3012,42.6192,37.0995,36.8366,26.8485,39.9175,42.0559,42.3627,42.3673,42.3693,43.2146,42.4089,42.9573
216,NA,Size_DblN_top_logit_Nearshore_survey(5),NA,-6.20989,-5.87128,-7.06823,-6.2458,-2.00935,-1.94217,0.0297244,-3.6803,-6.02818,-6.64072,-6.86005,-6.22219,-7.63417,-6.24941,-1.37563
217,NA,Size_DblN_ascend_se_Nearshore_survey(5),NA,4.20448,4.061,4.17879,4.21085,3.64013,3.61778,-0.135614,4.12816,4.23161,4.21354,4.18836,4.19196,4.01775,4.20786,4.26886
218,NA,Size_DblN_descend_se_Nearshore_survey(5),NA,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,-4.50396
219,NA,Size_DblN_start_logit_Nearshore_survey(5),NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
220,NA,Size_DblN_end_logit_Nearshore_survey(5),NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-0.774724
250,Derived quantities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,NA,SB0,943.875,851.568,788.082,932.281,1301.23,1630.93,2127.62,988.227,1250.61,982.032,1260.1,948.822,1751.07,802.936,921.438,970.705
252,NA,SSB_2023,426.151,273.294,284.646,603.693,550.671,542.449,2090.37,568.205,931.056,510.418,747.552,442.423,940.587,234.634,481.65,498.549
253,NA,Bratio_2023,0.451491,0.320931,0.361188,0.647544,0.423192,0.332602,0.98249,0.574975,0.744483,0.519757,0.593247,0.466287,0.537149,0.29222,0.522715,0.513595
254,NA,MSY_SPR,275.884,245.938,251.82,325.147,262.622,214.531,583.663,288.501,336.956,286.247,314.366,277.323,295.857,235.308,269.169,282.805
255,NA,F_SPR,0.0483459,0.0489859,0.0407037,0.0494047,0.0442282,0.0445759,0.0557412,0.0483928,0.0605532,0.0483005,0.059669,0.0483488,0.0543277,0.0482234,0.0483444,0.0484426
