Type,0- Reference model,01- Est M,02- Lorenzen M,03- fix growth,04- fix growth Est M,05- Est Lmin,06- fix t0=0,07- Est CVlts,08- bio mat ogive,09- Fxnal mat ogive,10- Fec = ltwt,11- No rec devs,12- Full rec devs,13- Domed sel est
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AIC,7698,7687.82,7866.78,10597.86,10476.8,7704.88,7256.4,7304.72,7697.1,7698.04,7696.5,7828.24,7725.06,7691.66
deltaAIC,0,-10.18,168.78,2899.86,2778.8,6.88,-441.6,-393.28,-0.9,0.04,-1.5,130.24,27.06,-6.34
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALL,-14.9636,-7.78128,-10.7721,-40.9231,-10.3799,-16.5838,-27.1516,-17.6844,-17.9008,-14.9268,-15.9177,-6.3262,-16.8763,-18.8452
Tagging,1.41761,3.78674,3.69338,2.42851,7.88162,0.739789,-1.43681,1.32537,0.164231,1.42548,1.00084,6.7296,0.73065,0.496675
Nearshore_survey,-1.69385,-1.66885,-1.69572,-1.78884,-1.70123,-1.66842,-1.67884,-1.69276,-1.70513,-1.69378,-1.69351,-1.56419,-1.70847,-1.91731
OCNMS,-0.447106,-0.307818,0.278152,0.798994,0.74817,-0.514613,-1.4484,-0.415487,-0.525424,-0.453579,-0.508923,-0.944844,-0.52439,-0.415645
OCNMS_YOY,8.45519,8.49913,8.61746,8.85252,8.98746,8.46015,7.87825,8.4347,8.45729,8.45538,8.43927,8.21485,8.39595,8.51217
Private_Boat,-12.3689,-8.15297,-10.84,-36.6345,-12.1955,-13.227,-19.648,-14.4126,-13.8969,-12.342,-12.8215,-9.12839,-13.3255,-14.821
Charter,-10.3265,-9.93752,-10.8254,-14.5797,-14.1004,-10.3738,-10.8178,-10.9236,-10.3948,-10.3183,-10.3339,-9.63322,-10.4445,-10.7001
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALL,657.037,644.41,718.353,650.772,646.213,661.239,662.353,643.639,659.855,657.118,657.962,673.264,658.156,641.757
Trawl,134.919,134.419,143.501,95.545,94.5235,134.908,109.803,134.111,135.094,134.95,135.072,141.781,134.972,133.561
NonTRWL,56.2224,54.8538,61.4457,49.7976,49.9099,56.2453,51.2599,56.6604,56.326,56.226,56.2769,57.9033,56.3706,56.0476
Recreational,330.821,322.213,374.427,339.067,335.39,331.448,352.981,320.83,332.176,330.867,331.439,338.552,331.514,329.228
Tagging,18.9133,17.1148,21.9953,27.9241,28.3312,19.0673,26.9699,15.7855,19.1657,18.9084,18.9918,17.5099,19.0508,14.7282
Nearshore_survey,9.75545,9.79676,9.60413,26.7882,26.5443,13.1568,16.8637,11.1238,9.97661,9.75063,9.77294,6.37915,9.7861,1.51006
OCNMS,106.406,106.013,107.38,111.65,111.514,106.413,104.476,105.128,107.116,106.416,106.411,111.138,106.462,106.682
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALL,3091.62,3088.89,3108.75,4611.36,4510.06,3091.69,2889.16,2912.96,3091.23,3091.6,3091.13,3178.66,3089.33,3094.65
Trawl,264.159,267.727,266.071,256.873,264.815,264.202,249.068,266.651,263.623,264.16,263.869,273.274,262.023,263.84
NonTRWL,957.05,953.844,964.585,1334.77,1305.73,957.242,904.382,940.8,957.44,957.026,956.945,964.553,957.17,959.191
Recreational,1870.41,1867.32,1878.1,3019.72,2939.51,1870.25,1735.71,1705.51,1870.16,1870.41,1870.32,1940.83,1870.13,1871.62
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NatM_uniform_Fem_GP_1,0.17,0.15702,NA,0.17,0.104049,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
NatM_Lorenzen_Fem_GP_1,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L_at_Amin_Fem_GP_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_at_Amax_Fem_GP_1,52.7262,52.6777,52.7295,51.19,51.19,52.7282,51.9897,52.4968,52.7282,52.7248,52.7276,52.7508,52.7299,52.7765
VonBert_K_Fem_GP_1,0.117701,0.117729,0.117486,0.1513,0.1513,0.117712,0.164057,0.122056,0.117708,0.117704,0.117689,0.117197,0.117691,0.117696
CV_young_Fem_GP_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0135346,0.1,0.1,0.1,0.1,0.1,0.1
CV_old_Fem_GP_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.114709,0.1,0.1,0.1,0.1,0.1,0.1
Mat50%_Fem_GP_1,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,34.38,40.36,40.36,40.36,40.36,40.36
Mat_slope_Fem_GP_1,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.31217,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418
Eggs_scalar_Fem_GP_1,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08,5.25E-05,1.41E-08,1.41E-08,1.41E-08
Eggs_exp_len_Fem_GP_1,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,2.72122,4.685,4.685,4.685
NatM_uniform_Mal_GP_1,0.152,0.125744,NA,0.152,0.107929,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152
NatM_Lorenzen_Mal_GP_1,NA,NA,0.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L_at_Amin_Mal_GP_1,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,0,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175
L_at_Amax_Mal_GP_1,47.6462,47.6494,47.7205,47.26,47.26,47.6487,46.7778,47.9752,47.6361,47.6445,47.6445,47.6572,47.6435,47.705
VonBert_K_Mal_GP_1,0.140309,0.141133,0.139516,0.1656,0.1656,0.140304,0.220565,0.146577,0.140407,0.140318,0.140302,0.139965,0.140305,0.140202
CV_young_Mal_GP_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.101827,0.1,0.1,0.1,0.1,0.1,0.1
CV_old_Mal_GP_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0697185,0.1,0.1,0.1,0.1,0.1,0.1
Wtlen_1_Mal_GP_1,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05,2.48E-05
Wtlen_2_Mal_GP_1,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062
SR_LN(R0),7.58754,7.26938,8.23766,8.03466,6.68461,7.60095,7.69478,7.58446,7.56367,7.58738,7.56865,7.42477,7.55643,7.61081
SR_BH_steep,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
LnQ_base_Tagging(4),-5.58668,-5.40544,-5.58868,-7.33272,-6.09632,-5.60738,-6.02235,-5.70352,-5.61913,-5.58591,-5.59461,-5.52639,-5.60541,-5.52666
LnQ_base_Nearshore_survey(5),-7.14576,-6.80483,-6.92625,-8.28287,-6.83564,-7.27667,-7.58555,-7.26013,-7.26968,-7.14493,-7.18556,-6.68849,-7.2147,-6.61214
Q_extraSD_Nearshore_survey(5),0.118339,0.120892,0.118505,0.10909,0.11884,0.120946,0.119612,0.118512,0.117151,0.118346,0.118347,0.130918,0.116783,0.0966313
LnQ_base_OCNMS(6),-7.41227,-7.07108,-7.26579,-8.56244,-7.09666,-7.47977,-7.73284,-7.52052,-7.55595,-7.41381,-7.44933,-6.93791,-7.47512,-7.56689
LnQ_base_OCNMS_YOY(7),-6.58605,-6.15795,-7.10858,-7.00802,-5.39563,-6.61988,-6.95595,-6.61114,-6.64224,-6.5856,-6.61225,-6.50837,-6.61134,-6.6278
Q_extraSD_OCNMS_YOY(7),1.7941,1.80715,1.8427,1.91432,1.95457,1.7953,1.63223,1.78812,1.79455,1.79416,1.78945,1.72441,1.77656,1.81063
LnQ_base_Private_Boat(8),-6.24091,-6.09281,-6.2503,-7.86782,-6.75241,-6.25672,-6.68048,-6.33033,-6.26601,-6.24094,-6.24729,-6.16281,-6.25495,-6.29086
Q_extraSD_Private_Boat(8),0.375884,0.429946,0.395325,0.168421,0.380691,0.365577,0.296356,0.352202,0.357687,0.376205,0.370401,0.417456,0.364458,0.3473
LnQ_base_Charter(9),-5.72854,-5.6468,-5.76278,-7.12214,-6.25268,-5.73126,-6.05811,-5.7898,-5.73012,-5.72894,-5.72795,-5.68439,-5.72847,-5.74286
Q_extraSD_Charter(9),0.139374,0.147517,0.129998,0.078608,0.0769388,0.138402,0.130222,0.127602,0.137996,0.139532,0.139223,0.151294,0.137147,0.132065
Size_DblN_peak_Trawl(1),50.0218,50.1002,49.6735,49.7969,50.0671,50.0173,49.5621,50.8778,50.0244,50.0224,50.0235,49.9466,50.0504,49.9989
Size_DblN_top_logit_Trawl(1),0.809362,0.657864,0.92375,-0.520083,-0.550706,0.804894,-0.407399,-0.185358,0.821477,0.809475,0.817669,0.82199,0.862601,0.78563
Size_DblN_ascend_se_Trawl(1),3.46192,3.48426,3.40521,3.63044,3.67886,3.46151,3.58896,3.54596,3.46151,3.46194,3.46161,3.44495,3.46431,3.46306
Size_DblN_peak_NonTRWL(2),48.8262,49.0261,48.1063,47.2474,49.3198,48.8216,46.8109,50.0611,48.818,48.8262,48.8209,48.9592,48.8012,48.8144
Size_DblN_top_logit_NonTRWL(2),-0.710716,-0.865698,2.09208,-1.44605,2.05894,1.95837,-1.0294,1.96152,-0.714109,-0.716277,-0.794561,2.04409,-0.816662,0.116725
Size_DblN_ascend_se_NonTRWL(2),4.30156,4.34036,4.19788,4.45224,4.6931,4.3011,4.38746,4.40862,4.29989,4.30151,4.30047,4.30193,4.29886,4.30478
Size_DblN_peak_Recreational(3),43.5177,43.5728,43.3293,41.3046,41.8984,43.5081,41.6268,43.8661,43.5007,43.5159,43.5107,43.608,43.5041,43.4871
Size_DblN_top_logit_Recreational(3),-2.5445,2.48525,2.52726,-8.87229,2.63392,-2.55034,2.62155,2.50065,2.49743,2.49755,2.49734,2.50861,2.49415,-1.13396
Size_DblN_ascend_se_Recreational(3),3.6531,3.67978,3.5897,3.59959,3.72736,3.65175,3.5967,3.73709,3.65035,3.6528,3.65149,3.64938,3.65112,3.65615
Size_DblN_peak_Tagging(4),41.7053,41.8112,41.5754,40.0276,40.0007,41.6899,40.3115,41.8862,41.6873,41.7064,41.7021,41.8532,41.6937,42.1317
Size_DblN_top_logit_Tagging(4),-3.6876,-4.17038,-3.20262,-3.38848,-3.37544,-3.65634,-3.51834,-4.03285,-3.63269,-3.68762,-3.66832,-4.18764,-3.65767,-3.37767
Size_DblN_ascend_se_Tagging(4),3.35208,3.39257,3.30246,3.33943,3.38259,3.34863,3.35426,3.41487,3.34657,3.35216,3.35043,3.41922,3.34912,3.41261
Size_DblN_peak_Nearshore_survey(5),32.2138,32.1527,32.9439,30.2327,30.425,23.343,29.6829,31.7825,31.9532,32.2155,32.1786,34.3056,32.0526,33.9407
Size_DblN_top_logit_Nearshore_survey(5),-2.58671,-2.57157,-2.97191,-1.8565,2.24166,-7.4963,-7.97052,-2.46675,-2.47957,-2.5876,-2.57075,-4.48357,-2.51668,-9.98641
Size_DblN_ascend_se_Nearshore_survey(5),3.74914,3.7541,3.68184,3.64381,3.68719,-2.63162,3.51514,3.71148,3.73611,3.7493,3.75114,3.98555,3.75228,3.85642
Size_DblN_peak_OCNMS(6),26.655,26.4013,28.4878,15.0039,10.8377,26.5468,25.0717,26.213,13.0394,26.6551,26.629,28.8912,26.5342,13.0394
Size_DblN_top_logit_OCNMS(6),1.03594,2.44101,3.45419,1.66157,2.17331,3.51246,1.36427,3.55087,2.78175,3.50565,3.50811,3.16364,1.75445,1.6526
Size_DblN_ascend_se_OCNMS(6),3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539
Size_DblN_descend_se_OCNMS(6),1.32842,-4.50033,-4.50023,-4.49246,-4.43898,-4.49984,-4.04984,-4.49817,-4.50084,-4.49974,-4.49958,-4.49271,-4.50156,-4.50006
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SB0,949.641,859.33,790.092,2063.54,1629.17,962.927,1237.6,981.528,1258.76,949.374,1751.15,801.662,920.816,978.318
SSB_2023,440.039,282.927,285.03,1950.33,519.706,478.162,886.297,502.112,743.325,439.546,935.382,232.784,475.888,519.701
Bratio_2023,0.463374,0.329242,0.360755,0.945139,0.319,0.496572,0.71614,0.511561,0.590522,0.462985,0.534154,0.290376,0.516811,0.531219
MSY_SPR,277.621,248.067,252.457,566.188,214.6,281.427,333.57,286.32,314.144,277.57,295.944,234.973,269.074,284.986
F_SPR,0.0483232,0.0489355,0.0406718,0.0557434,0.044606,0.0483287,0.0605271,0.0482814,0.0596478,0.0483201,0.0542989,0.0482083,0.0483154,0.0484382
